type,title,requires,provides,attributes,rerolls,image,test,disjunction,text,text2
voodoo,Detoxication,,,,,detoxikace,,,Choose an opponent which has to dicards all cards in their hand except one.,
voodoo,You pissed off the fans!,,,,,nastval,,,Play after opponent’s successfull test. You get the quest instead of them.,
voodoo,Two birds with one stone,,,,,dve,,,Play after successful test. The player automatically achieves another available quest which requires testing the same attribute.,
voodoo,Fortune favors the bold,,,,,odvaznemu,,,Play before revealing random quest from the top of the deck. Test will be automatically successfull.,
voodoo,Audience requires repeat,,,,,divaci,,,Play after successfull test. The test has to be repeated.,
voodoo,Scandal,,,,,skandal,,,Choose a direction. Each player gives one of their achieved quest to the player in the chosen direction.,
voodoo,Clanger,,,,,trapas,,,Choose an opponent and one of their neighbour. The player has to give one of their achieved tests to that neighbour.,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Arm,B,H,PZ,,ruka,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
basic,Leg,B,L,SZ,,noha,,,,
