title,type,affiliation,attributes,image,text,flavor
Herb broth,gear,balance,,herbs,@: Heal target warrior except user.,Classic mushroom tea.
Explosive charge,gear,balance,,dynamite,"@@, destroy Explosive charge: Destroy target warrior or building.",
Explosive charge,gear,balance,,dynamite,"@@, destroy Explosive charge: Destroy target warrior or building.",
Bulky hulk,factor,balance,,clumsy2,Targeted warrior with 🛡️ greater than gets -5 to 🛡️.,He is so big. I can’t miss.
Battle carnage,factor,balance,,battlefury,"All warriors get +3 to 👊 and 🎯. If any player has no warriors in battle, destroy Battle carnage.",
Brown fog,factor,balance,,brownfog,"All warriors get  -3&nbsp;to&nbsp;🎯. If any player has no warriors in battle, destroy Brown fog.",
Acid rain,event,balance,,acidrain,Use as 2 actions. Heal all wounded warriors and injure all other warriors.,
Cloning,event,balance,,cloning,Pay 🌕 equal to lesser half of 💎 of target warrior in your grave. Return it to the battle.,
Defender of the wasteland,factor,balance,,guard,Targeted warriors covers all your other warriors from attack.,
Exterminator,trooper,progress,3/3/3/3,exterminator,"Robot<br>When kills a warrior, you get extra 1 🏆.",
Exterminator,trooper,progress,3/3/3/3,exterminator,"Robot<br>When kills a warrior, you get extra 1 🏆.",
Jungle patrol,trooper,progress,3/1/2/2,ranger,"Bonuses of its gear are enhanced by +1. When attacks or attacked, draw a card.",
Jungle patrol,trooper,progress,3/1/2/2,ranger,"Bonuses of its gear are enhanced by +1. When attacks or attacked, draw a card.",
Railgunman,trooper,progress,1/4/2/3,railgunman,"@: +2 to 🎯, lethality and first striky by 🎯 this turn.",
Railgunman,trooper,progress,1/4/2/3,railgunman,"@: +2 to 🎯, lethality and first striky by 🎯 this turn.",
Circulobot,trooper,progress,4/1/3/3,cirkulobot,"Robot<br>When injures a warrior, it can additionaly immediately attack the player (even covered).",
Circulobot,trooper,progress,4/1/3/3,cirkulobot,"Robot<br>When injures a warrior, it can additionaly immediately attack the player (even covered).",
Titan,trooper,progress,6/6/6/6,titan,Robot<br>For each warrior in battle deploying Titan costs 1 🌕 less.,
Air infantry,trooper,progress,3/4/4/4,aeroinfantry,"Its enemies in combat lose lethality. Discard a card from your hand:<br>+1 to 👊, 🎯 or 🛡️ this turn.",
Air infantry,trooper,progress,3/4/4/4,aeroinfantry,"Its enemies in combat lose lethality. Discard a card from your hand:<br>+1 to 👊, 🎯 or 🛡️ this turn.",
Explodron,trooper,progress,10/0/1/1,explodron,"Robot<br>When injured, it's killed outright.",Vrrr... Booom!
Explodron,trooper,progress,10/0/1/1,explodron,"Robot<br>When injured, it's killed outright.",Vrrr... Booom!
Street patrol,trooper,progress,3/2/4/3,police,"When attacked, return a gear card from your grave to your hand.",
Street patrol,trooper,progress,3/2/4/3,police,"When attacked, return a gear card from your grave to your hand.",
Titan armor,gear,progress,,titanarmor,Armor<br>+3 to 🛡️,Feel armor all over your body in the heavy infantry.
Titan armor,gear,progress,,titanarmor,Armor<br>+3 to 🛡️,Feel armor all over your body in the heavy infantry.
Titan armor,gear,progress,,titanarmor,Armor<br>+3 to 🛡️,Feel armor all over your body in the heavy infantry.
Plasma rifle,gear,progress,,plasmarifle,Two-handed weapon<br>+4 to 🎯,Ionized gas projectiles controlled by electromagnets can reach temperature over 10.000 °C.
Plasma rifle,gear,progress,,plasmarifle,Two-handed weapon<br>+4 to 🎯,Ionized gas projectiles controlled by electromagnets can reach temperature over 10.000 °C.
Plasma rifle,gear,progress,,plasmarifle,Two-handed weapon<br>+4 to 🎯,Ionized gas projectiles controlled by electromagnets can reach temperature over 10.000 °C.
AC-41 „Patemaker“,gear,progress,,ac41,"Two-handed weapon<br>+3 to 👊, +2 to 🎯 and lethality",Medium machine gun with integrated pop-up bayonet.
AC-41 „Patemaker“,gear,progress,,ac41,"Two-handed weapon<br>+3 to 👊, +2 to 🎯 and lethality",Medium machine gun with integrated pop-up bayonet.
Mega upgrade,factor,progress,,mega,Bonuses of targeted gear are doubled.,Super anti kontra multi extra unicate.
Time loop,event,progress,,timeloop,You get extra @!@! this turn.,"What you can do yesterday, don't put off to day before yesterday."
Time loop,event,progress,,timeloop,You get extra @!@! this turn.,"What you can do yesterday, don't put off to day before yesterday."
Massive offensive,event,progress,,offensive,"Use as 2 actions. During your next attack action, you can make separate attacks with each of your warriors.",
"Take over, buddy",surprise,progress,,help,Replace your attacked warrior in combat with another one of yours in battle.,
Public enemy,factor,progress,,wanted,"Attach to target warrior who killed one of your warriors. If you kill targeted warrior, you get extra 3 🏆.",
Punctual preparation,event,progress,,preparation,This card cannot be cancelled. Chosen opponent reveals their hand and discards all surprise cards.,
Solar eruption,surprise,progress,,eruption,"Target event, factor or surprise card just played is cancelled.",
Solar eruption,surprise,progress,,eruption,"Target event, factor or surprise card just played is cancelled.",
Explosive charge,gear,progress,,dynamite,"@@, destroy Explosive charge: Destroy target warrior or building.",
Explosive charge,gear,progress,,dynamite,"@@, destroy Explosive charge: Destroy target warrior or building.",
Explosive charge,gear,progress,,dynamite,"@@, destroy Explosive charge: Destroy target warrior or building.",
Looted goods,event,progress,,stolengear,Use as 2 actions. Take up to three gears from your opponent's grave and attach them to your warriors.,
Evacuate,surprise,progress,,evacuate,Use when your warrior is attacked. Return it to your hand.,
Hydroponic farm,building,progress,,hydrofarm,At the start of your turn you get 1 🌕.,Fresh herbs for fresh mind and fresh digestion.
Airborne drop,event,progress,,airborne,Deploying your warriors costs 3&nbsp;🌕 less this turn.,
Nuclear charge,gear,progress,,atomic,"@@@, destroy Nuclear charge: Destroy all warriors and buildings in battle. Lose 1 🏆 for each opponent's warrior destroyed.",
Clumsy,factor,progress,,clumsy,Targeted warrior gets -3&nbsp;to&nbsp;🛡️.,Have you ever survived a day of jerk?
Flood of shit,factor,progress,,wasteflood,"All warriors get -3&nbsp;to&nbsp;👊. If any player has no warriors in battle, destroy Flood of shit.",
Tactic trick,surprise,progress,,tactictip,Use in combat to change the tactics (👊 to 🎯 or vice versa).,
Explosive ammo,gear,progress,,dumdum,All your warriors get lethal 🎯.,You're not doing it right with that match.
Light bombardment,event,progress,,lightbombardment,Use as 2 actions. All warriors with 🛡️ 3 or less are injured. All others get -3 to 🛡️ this turn.,
