type,text,color,cost,buy,profit1,profit2,profit3,profit4,profitmax,expand
P,močový katetr ,6caf16,3600,280,1400,4000,11000,15000,19000,2000
P,rektální čípek na fisury ,6caf17,3600,280,1400,4000,11000,15000,19000,2000
P,sací katetr ,6caf18,4000,320,600,4400,12000,16000,20000,2000
P,infuzní pumpa ,e42f72,4400,360,1800,5000,14000,17000,21000,3000
P,kondom ,e42f73,4400,360,1800,5000,14000,17000,21000,3000
P,RTG ,e42f74,4800,400,2000,6000,15000,18000,22000,3000
P,pacemaker ,f6ba04,5200,440,2200,6600,16000,19500,23000,3000
P,spinální stent ,f6ba05,5200,440,2200,6600,16000,19500,23000,3000
P,AED ,f6ba06,5600,580,2400,7200,17000,20500,24000,3000
P,penilní filler ,227140,6000,500,2600,7800,18000,22000,25500,4000
P,prsní implantát,227141,6000,500,2600,7800,18000,22000,25500,4000
P,IPL,227142,6400,560,3000,9000,20000,24000,28000,4000
P,Anurex ,432e6e,7000,700,3500,10000,22000,26000,30000,4000
P,STDinder ,433e6e,8000,1000,4000,12000,28000,34000,40000,4000
,,,,,,,,,,
,,,,,,,,,,
C,1. konzultant Dymáček,,,,,,,,,
C,2. konzultant Hančl,,,,,,,,,
C,3. konzultant Volenec,,,,,,,,,
C,4. konzultant Tavandžis,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
PŘEPRAVA,"<div class=""data borderb"">  <div class=""label"">   Pořizovací cena distribuční sítě  </div>  <div class=""value"">   3&nbsp;000,-  </div> </div><p>POUŽITÍ PŘEPRAVY:<br> 80 x hodnota hozená na kostkách, pokud hráč vlastnící Přepravu vlastní i kartu Konsignační sklad, obdrží za použití přepravy 200 x hodnotu hozenou na kostkách </p>",,,,,,,,,
KONSIGNAČNÍ SKLAD,"<div class=""data borderb"">  <div class=""label"">   Pořizovací cena konsignačního skladu  </div>  <div class=""value"">   3&nbsp;000,-  </div> </div><p>POUŽITÍ KONSIGNAČNÍHO SKLADU:<br> 80 x hodnota hozená na kostkách, pokud hráč vlastnící Konsignační sklad vlastní i kartu Přeprava, obdrží za použití přepravy 200 x hodnotu hozenou na kostkách</p>",,,,,,,,,
 ,,,,,,,,,,
